doi,previous_label,new_label,confidence,title,venue,justification
10.1007/s10712-016-9383-1,Simple Citation,Level 1: Data Usage,5,"Causes of the Regional Variability in Observed Sea Level, Sea Surface Temperature and Ocean Colour Over the Period 1993–2011",Surveys in geophysics,"We use the ECCO version 4 ocean reanalysis to unravel the role of ocean transport and surface buoyancy fluxes in the observed SSH, SST and OC variability."
10.5194/OS-11-953-2015,Simple Citation,Level 1: Data Usage,5,Monitoring Atlantic overturning circulation and transport variability with GRACE-type ocean bottom pressure observations – a sensitivity study,Ocean Science,We extend the analysis to space-based observations (and the whole North Atlantic) and show on data from the ECCO2 model that AMOC anomalies can be inferred from OBP at a resolution resembling the GRACE gravity mission.
10.1007/s12040-014-0471-7,Simple Citation,Level 1: Data Usage,5,Observed seasonal and intraseasonal variability of the East India Coastal Current on the continental slope,"Proceedings of the Indian Academy of Sciences, Earth and Planetary Sciences","We use the ADCP data to validate popular current data products like OSCAR (Ocean Surface Currents Analyses Real-time), ECCO2 (Estimating the Circulation and Climate of the Ocean, Phase II), and GODAS (Global Ocean Data Assimilation System)."
10.5194/essd-16-3149-2024,Simple Citation,Level 1: Data Usage,5,SMOS-derived Antarctic thin sea ice thickness: data description and validation in the Weddell Sea,Earth System Science Data,The sea surface salinity (SSS) climatology in the Antarctic (Fig. 1) is based on the monthly model outputs of the German contribution of Estimating the Circulation and Climate of the Ocean project (GECCO2)
10.5194/GMD-11-1257-2018,Simple Citation,Level 1: Data Usage,5,"Intercomparison of Antarctic ice-shelf, ocean, and sea-ice interactions simulated by MetROMS-iceshelf and FESOM 1.4",Geoscientific Model Development,"Initial ocean temperature and salinity are taken from the ECCO2 reanalysis... The ECCO2 reanalysis provides temperature, salinity, and meridional velocity (v) as monthly averages over the transient period of 1992–2016."
10.5194/GMD-12-2091-2019,Simple Citation,Level 1: Data Usage,5,LSCE-FFNN-v1: a two-step neural network model for the reconstruction of surface ocean pCO2 over the global ocean,Geoscientific Model Development,"For MLD, daily data from the â€œEstimating the Circulation and Climate of the Oceanâ€  (ECCO2) project PhaseÂ II (CubeÂ 92), at a 0.25 âˆ˜ Ã— 0.25 âˆ˜ resolution (Menemenlis et al.,Â 2008) were used."
10.1007/s00382-017-3961-x,Simple Citation,Level 1: Data Usage,5,Impacts of the IOD-associated temperature and salinity anomalies on the intermittent equatorial undercurrent anomalies,Climate Dynamics,"The lateral boundaries are constrained with a 30-day time-scale relaxation to monthly averaged temperature, salinity, velocities and sea surface height (SSH) from ... Estimating the Circulation and Climate of the Ocean (ECCO) reanalysis product over January 2011–December 2014."
10.5194/tc-16-3723-2022,Simple Citation,Level 1: Data Usage,5,Sensitivity of the Ross Ice Shelf to environmental and glaciological controls,The Cryosphere,"The ocean model was initialized and forced with ECCO2 reanalysis (Menemenlis et al., 2005) for 2006–2016."
10.1007/s12040-014-0449-5,Simple Citation,Level 1: Data Usage,4,Observed intraseasonal and seasonal variability of the West India Coastal Current on the continental slope,"Proceedings of the Indian Academy of Sciences, Earth and Planetary Sciences","Current products based on Ocean General Circulation Models like ECCO2 ... show a weaker correlation with the ADCP current, and ECCO2 does capture some of the observed variability."
10.1016/J.DSR.2017.08.001,Simple Citation,Level 1: Data Usage,5,On the vertical structure and stability of the Lofoten vortex in the Norwegian Sea,Deep Sea Research Part I: Oceanographic Research Papers,"The Lofoten Vortex (LV), a quasi-permanent anticyclonic eddy in the Lofoten Basin of the Norwegian Sea, is investigated with an eddy-permitting primitive equation model nested into the ECCO2 ocean state estimate."
10.1007/s00382-013-1969-4,Simple Citation,Level 1: Data Usage,5,Impact of initialization procedures on the predictive skill of a coupled ocean–atmosphere model,Climate Dynamics,"The ocean initial conditions are provided by the German contribution to Estimating the Circulation and Climate of the Ocean state estimate (GECCO project), from which ensembles of decadal hindcasts are initialized every 5 years from 1961 to 2001. The predictive skill for sea surface temperature (SST), sea surface height (SSH) and the Atlantic meridional overturning circulation (AMOC) is assessed against the GECCO synthesis."
10.5194/OS-14-259-2018,Simple Citation,Level 1: Data Usage,5,Estimation of oceanic subsurface mixing under a severe cyclonic storm using a coupled atmosphere–ocean–wave model,Ocean Science,"The initial and lateral open boundary conditions were derived from the Estimating the Circulation and Climate of the Ocean, Phase II (ECCO2) data (Menemenlis et al., 2005)."
10.1016/J.CRTE.2006.05.015,Simple Citation,Level 1: Data Usage,4,Satellite altimetry and ocean dynamics,Comptes Rendus. Géoscience,transport is computed from the estimates of the velocity and temperature fields from a modeling analysis based on assimilation of satellite altimetry and in-situ data. This analysis system is called ECCO
10.5194/bg-19-5079-2022,Simple Citation,Level 1: Data Usage,5,Influence of GEOTRACES data distribution and misfit function choice on objective parameter retrieval in a marine zinc cycle model,Biogeosciences,"Our last set of experiments, synObs_circ, assesses the sensitivity of the optimisation to systematic biases in the circulation of the physical model. In these experiments, the target field was produced with MITgcm-ECCO, a higher-resolution version of MITgcm from the Estimating the Circulation and Climate of the Ocean (ECCO) project (Stammer et al., 2004), i.e. a different physical model than that used during optimisation (MITgcm-2.8)."
10.1007/s00382-016-3244-y,Simple Citation,Level 1: Data Usage,3,Impacts of open-ocean deep convection in the Weddell Sea on coastal and bottom water temperature,Climate Dynamics,"The abstract mentions ""ECCO2: high resolution global ocean and sea ice data synthesis"" and lists ""ECCO2"" as a keyword, implying the use of ECCO2 data."
10.5194/bg-22-341-2025,Simple Citation,Level 2: Model Adaptation,4,Efficiency metrics for ocean alkalinity enhancements under responsive and prescribed atmospheric pCO2 conditions,Biogeosciences,"a simple numerical general circulation model was run using MITgcm (Marshall et al., 1997). The simulation was initialized and forced as detailed in Dutkiewicz et al. (2005)."
10.5194/os-20-1167-2024,Simple Citation,Level 2: Model Adaptation,5,"High-resolution numerical modelling of seasonal volume, freshwater, and heat transport along the Indian coast",Ocean Science (OS),"In this study, we numerically modelled the physical characteristics of the AS and BoB, using the Massachusetts Institute of Technology general circulation model (MITgcm) at a high spatial resolution of 1/20° forced with climatological initial and boundary conditions."
10.5194/os-18-193-2022,Simple Citation,Level 2: Model Adaptation,5,Interannual variability of sea level in the southern Indian Ocean: local vs. remote forcing mechanisms,Ocean Science (OS),"To separate the influence of the Pacific Ocean on the variability of sea level and OHC in the Indian Ocean, we performed a numerical experiment with artificially closed Indonesian passages and the Torres Strait between Australia and New Guinea. The closure of the Indonesian passages was achieved by modifying the model bathymetry (Fig. 2a)."
10.5194/tc-17-3409-2023,Simple Citation,Level 2: Model Adaptation,5,Widespread slowdown in thinning rates of West Antarctic ice shelves,The Cryosphere,"To model these conditions we use the Massachusetts Institute of Technology general circulation model (MITgcm) ... The model domain (Fig. 6) is derived from the global configuration (LLC1080) used by the Estimating the Circulation and Climate of the Ocean (ECCO) project ... The vertical discretization is enhanced, compared with that used by the ECCO project ... Initial conditions and boundary conditions for hydrography (T, S, u, v) and sea ice are derived from a coarse-resolution global state estimate (~20km horizontal grid spacing, LLC270) for the integration period 1992 to 2017. ... Surface forcing is also provided by the ECCO project."
10.1038/s41598-019-53190-6,Simple Citation,Level 2: Model Adaptation,5,Pathways of ocean heat towards Pine Island and Thwaites grounding lines,Scientific Reports,"In this study, we use an unprecedentedly high-resolution (200 m horizontal and 10 m vertical grid spacing) ocean model that resolves shelf-sea and sub-ice-shelf environments... The model code and daily outputs are available at https://ecco.jpl.nasa.gov/drive/files/ECCO2/High_res_PIG."
10.5194/BG-17-609-2020,Simple Citation,Level 2: Model Adaptation,5,Dimensions of marine phytoplankton diversity,Biogeosciences,"The biogeochemical and biological tracers are transported and mixed by the MIT general circulation model (MITgcm, Marshall et al., 1997) constrained to be consistent with altimetric and hydrographic observations (the ECCO-GODAE state estimates, Wunsch and Heimbach, 2007)."
10.1007/s10236-017-1064-1,Simple Citation,Level 2: Model Adaptation,5,Ensemble data assimilation in the Red Sea: sensitivity to ensemble selection and atmospheric forcing,Deutsche Hydrographische Zeitschrift,"The system consists of the high-resolution Massachusetts Institute of Technology general circulation model (MITgcm) to simulate ocean circulation and of the Data Research Testbed (DART) for ensemble data assimilation. ... we adapted the ensemble operations in DART to use an invariant ensemble, i.e., an ensemble Optimal Interpolation (EnOI) algorithm."
10.5194/bg-19-5401-2022,Simple Citation,Level 2: Model Adaptation,5,Controls on the relative abundances and rates of nitrifying microorganisms in the ocean,Biogeosciences,The nitrification ecosystem model is integrated with MIT general circulation model (MITgcm) and coupled to the ECCO-GODAE state estimate of the ocean circulation
10.1175/JCLI-D-20-0981.1,Simple Citation,Level 2: Model Adaptation,4,Transient Response of the Southern Ocean to Idealized Wind and Thermal Forcing across Different Model Resolutions,Journal of Climate,"In this study, idealized wind and thermal perturbations are analyzed in a global ocean–sea-ice model at two horizontal resolutions: nominally, 1° and 0.1°."
10.3189/2012AoG60A073,Simple Citation,Level 2: Model Adaptation,5,"Sensitivity of the ice-shelf/ocean system to the sub-ice-shelf cavity shape measured by NASA IceBridge in Pine Island Glacier, West Antarctica",Annals of Glaciology,"We use the Massachusetts Institute of Techology general circulation model (MITgcm)... The model domain... is derived from the global cube sphere grid configuration used by the Estimating the Circulation and Climate of the Ocean, Phase II (ECCO2) project... but with horizontal grid spacing of ~1 km instead of ~18 km in the global configuration. The vertical discretization is the same as that used by the ECCO2 project..."
10.1007/s00382-014-2308-0,Simple Citation,Level 2: Model Adaptation,5,The ocean’s role in the transient response of climate to abrupt greenhouse gas forcing,Climate Dynamics,We study the role of the ocean in setting the patterns and timescale of the transient response of the climate to anthropogenic greenhouse gas forcing. A novel framework is set out which involves integration of an ocean-only model in which the anthropogenic temperature signal is forced from the surface by anomalous downwelling heat fluxes and damped at a rate controlled by a ‘climate feedback’ parameter.
10.1038/s41561-021-00759-4,Simple Citation,Level 3: Foundational Method,5,Distinct sources of interannual subtropical and subpolar Atlantic overturning variability,Nature Geoscience,"Y.K. planned, designed and performed the adjoint sensitivity analysis with the MITgcm. P.H. and G.F. developed and maintained the ECCO version 4 state estimate and the associated tools for post-processing MITg"
