doi,previous_label,new_label,confidence,title,venue,justification
10.5194/acp-23-6319-2023,Simple Citation,Data Usage,5,Technical note: Constraining the hydroxyl (OH) radical in the tropics with satellite observations of its drivers – first steps toward assessing the feasibility of a global observation strategy,Atmospheric Chemistry and Physics,"We use the total column water vapor standard physical retrieval as well as the seven water vapor layers listed in Table 1 (Susskind et al., 2014). Multiple studies have evaluated the accuracy of the AIRS H2O (v) column and layers retrievals in the remote tropical atmosphere"
10.1186/s40645-026-00813-y,Simple Citation,Data Usage,5,Validating tropospheric NO2 column density from GEMS version 3.0 and Tropospheric Chemistry Reanalysis version 2 from background to urban conditions over Japan: with a focus on diurnal variations,Progress in Earth and Planetary Science,The paper validates tropospheric NO2 VCD data from the Tropospheric Chemistry Reanalysis version 2 (TCR-2). TCR-2 is an updated reanalysis that ingests TROPESS/TES data.
10.1038/s41586-025-09004-z,Simple Citation,Data Usage,5,Air pollution modulates trends and variability of the global methane budget,Nature,The TCR-2 chemical reanalysis data were downloaded from https://tes.jpl.nasa.gov/tes/chemical-reanalysis/
10.5194/acp-23-15693-2023,Simple Citation,Data Usage,4,Fingerprints of the COVID-19 economic downturn and recovery on ozone anomalies at high-elevation sites in North America and western Europe,Atmospheric Chemistry and Physics,"The paper cites Miyazaki et al. (2020), which is the TCR-2 chemical reanalysis. TCR-2 is explicitly mentioned as providing trends, indicating its use as a data product."
10.5194/gmd-16-6161-2023,Simple Citation,Data Usage,5,A simplified non-linear chemistry transport model for analyzing NO2 column observations: STILT–NOx,Geoscientific Model Development,"we analyzed vertical distributions of NOx mixing ratios from TCR-2 (Miyazaki et al., 2020). TCR-2 is a global chemical reanalysis that includes full physical and chemical processes for various species and assimilates multiple satellite products of NO2, ozone, CO, and SO2."
10.5194/acp-22-15981-2022,Simple Citation,Data Usage,5,Inferring and evaluating satellite-based constraints on NOx emissions estimates in air quality simulations,Atmospheric Chemistry and Physics,"The paper explicitly uses ""NASA Tropospheric Chemical Reanalysis products 2 (TCR-2) satellite-inferred inventory"" which is constrained using satellite observations and is a TROPESS-related product."
10.5194/ACP-21-13311-2021,Simple Citation,Data Usage,5,A satellite-data-driven framework to rapidly quantify air-basin-scale NOx emissions and its application to the Po Valley during the COVID-19 pandemic,Atmospheric Chemistry and Physics,"The NOx emissions from the JPL chemical reanalysis (Fig. 1 a) are constrained by assimilating O3, NO2, CO, HNO3, and SO2 from the OMI, GOME-2, SCIAMACHY, MLS, TES, and MOPITT satellite instruments (Miyazaki et al., 2020a)"
10.1007/s42452-025-06934-1,Simple Citation,Data Usage,5,Long-term trends and chemometric analysis of atmospheric air quality matrices in Nigeria (2003–2023) using NASA GIOVANNI satellite data,Discover Applied Sciences,"using data from NASA satellites (Ozone Monitoring Instrument., OMI and Atmospheric Infrared Sounder, AIRS were investigated to provide insight into the spatiotemporal variations of surface temperatures, relative humidity and concentrations of pollutants such as nitrogen dioxide (NO₂), sulphur dioxide (SO₂), carbon monoxide (CO), carbon dioxide (CO₂), methane (CH₄), formaldehyde (HCHO), and ozone (O₃). Data was collected and analyzed using the NASA GIOVANNI platform"
10.1007/s00128-025-04144-4,Simple Citation,Data Usage,5,"NO₂ Emission Estimation in Ho Chi Minh City, Vietnam Using Modeling and OMI Satellite Data",Bulletin of Environmental Contamination and Toxicology,"The LMAM model demonstrated a strong correlation with TROPESS Chemical Reanalysis (TCR) NOx data (Spearman’s r = 0.71 in 2019; r = 0.70 in 2020), confirming its reliability for trend analysis."
10.1093/nsr/nwaf232,Simple Citation,Data Usage,3,Converging evidence for reduced global atmospheric oxidation in 2020,National Science Review,This contrast is further supported by opposite anomalies in hemispheric tropospheric ozone observed by satellite.
10.1007/s10661-022-10775-5,Simple Citation,Data Usage,5,Spatiotemporal variations and relationships of absorbing aerosol-radiation-gross primary productivity over China,Environmental Monitoring & Assessment,The AIRS data were obtained from https://disc.gsfc.nasa.gov/datasets/ summary accessed on 1 July 2020.
10.1134/S0001433822090225,Simple Citation,Data Usage,5,Strong Wildfires in the Russian Federation in 2021 Detected Using Satellite Data,"Izvestiya, Atmospheric and Oceanic Physics","The abstract explicitly cites and links to the ""AIRS/AMSU/HSB version 6 level 3 product user guide"", indicating the use of AIRS data, which is part of TROPESS."
10.5194/amt-18-695-2025,Simple Citation,Data Usage,5,"Global decadal measurements of methanol, ethene, ethyne, and HCN from the Cross-track Infrared Sounder",Atmospheric Measurement Techniques,"TROPESS CrIS CO data are available at https://doi.org/10.5067/LS66YMQDSPRI (Bowman, 2021)."
