doi,previous_label,new_label,confidence,title,venue,justification
10.5194/gmd-17-4155-2024,Simple Citation,Level 1: Data Usage,5,Assessment of surface ozone products from downscaled CAMS reanalysis and CAMS daily forecast using urban air quality monitoring stations in Iran,Geoscientific Model Development,"This study uses two global datasets, namely the reanalysis and the daily forecast of the Copernicus Atmosphere Monitoring Service (CAMS), to assess the capability of these products in presenting ozone's features on regional scales. We obtained 16 relevant meteorological and several pollutant species, such as O3, CO, NOx, etc., from CAMS."
10.5194/gmd-16-2689-2023,Simple Citation,Level 1: Data Usage,5,Long-term evaluation of surface air pollution in CAMSRA and MERRA-2 global reanalyses over Europe (2003–2020),Geoscientific Model Development,"In this study, we thoroughly evaluate two global atmospheric composition reanalyses, the Copernicus Atmosphere Monitoring Service (CAMSRA) and the Modern-Era Retrospective Analysis for Research and Applications v2 (MERRA-2), between 2003 and 2020, against independent surface measurements of O3, NO2, CO, SO2 and particulate matter (PM; both PM10 and PM2.5) over the European continent."
10.5194/ACP-20-10295-2020,Simple Citation,Level 1: Data Usage,4,Quantifying burning efficiency in megacities using the NO2∕CO ratio from the Tropospheric Monitoring Instrument (TROPOMI),Atmospheric Chemistry and Physics,"This study investigates the use of co-located nitrogen dioxide (NO2) and carbon monoxide (CO) retrievals from the TROPOMI satellite to improve the quantification of burning efficiency and emission factors (EFs) over the megacities of Tehran, Mexico City, Cairo, Riyadh, Lahore, and Los Angeles."
10.5194/acp-22-8221-2022,Simple Citation,Level 1: Data Usage,4,Transport of substantial stratospheric ozone to the surface by a dying typhoon and shallow convection,Atmospheric Chemistry and Physics,This is further confirmed by the vertical evolutions of humidity and ozone profiles based on radiosonde and satellite data respectively.
10.5194/ACP-20-281-2020,Simple Citation,Level 1: Data Usage,5,Attribution of Chemistry-Climate Model Initiative (CCMI) ozone radiative flux bias from satellites,Atmospheric Chemistry and Physics,"To benchmark the model-simulated geophysical quantities, a recently developed multi-species multi-satellite Tropospheric Chemistry Reanalysis (TCR) product (Miyazaki et al., 2015) is used in this study to compare to the model results."
10.5194/ACP-19-4269-2019,Simple Citation,Level 1: Data Usage,5,Satellite data reveal a common combustion emission pathway for major cities in China,Atmospheric Chemistry and Physics,"We also use model data for CO and NO2 from the Community Atmosphere Model with Chemistry (CAM-chem; Gaubert et al., 2016) and TCR to derive CO and NO2 abundance ratios associated with the bottom-up emissions used in these models (i.e., RCP in CAM-Chem and EDGAR in CHASER)."
10.5194/ACP-19-6701-2019,Simple Citation,Level 1: Data Usage,4,The unintended consequence of SO2 and NO2 regulations over China: increase of ammonia levels and impact on PM2.5 concentrations,Atmospheric Chemistry and Physics,"Reductions in SO2 and NOx emissions from 2011 to 2015 of 37.5 % and 21 % respectively, as constrained from satellite data, lead to decreased inorganic matter"
10.5194/ACP-19-1801-2019,Simple Citation,Level 1: Data Usage,5,"A top-down assessment using OMI NO2 suggests an underestimate in the NOx emissions inventory in Seoul, South Korea, during KORUS-AQ",Atmospheric Chemistry and Physics,"Using the regional OMI NO2 product with only the air mass factor correction applied, we derive the NOx emissions rate from the Seoul metropolitan area to be 484 +/- 201 kt/yr."
10.5194/ACP-18-4251-2018,Simple Citation,Level 1: Data Usage,5,Characteristics of intercontinental transport of tropospheric ozone from Africa to Asia,Atmospheric Chemistry and Physics,"In this study, we characterize the transport of ozone from Africa to Asia through the analysis of the simulations of a global chemical transport model, GEOS-Chem, from 1987 to 2006."
10.5194/essd-17-4627-2025,Simple Citation,Level 1: Data Usage,5,TROPOMI Level 3 tropospheric NO2 dataset with advanced uncertainty analysis from the ESA CCI+ ECV precursor project,Earth System Science Data,"This dataset can be used for, for example, temporal analysis, emission monitoring, data assimilation and model validation, and atmospheric chemistry studies."
10.5194/amt-17-5341-2024,Simple Citation,Level 2: Model Adaptation,5,Joint spectral retrievals of ozone with Suomi NPP CrIS augmented by S5P/TROPOMI,Atmospheric Measurement Techniques,"Using the MUlti-SpEctra, MUlti-SpEcies, MUlti-SEnsors (MUSES) algorithm, the sequential combination of TIR and UV measurements, which follows retrievals from each instrument separately, moderately improves the ability of satellites to characterize global ozone profiles over the use of each instrument/band individually."
10.5194/gmd-18-2861-2025,Simple Citation,Level 2: Model Adaptation,5,Top-down CO emission estimates using TROPOMI CO data in the TM5-4DVAR (r1258) inverse modeling suit,Geoscientific Model Development,We introduced TROPOMI satellite observations into the TM5-4DVAR inverse modeling suit to optimize global CO emissions from three distinct emission categories
10.5194/gmd-16-509-2023,Simple Citation,Level 2: Model Adaptation,5,Comparing Sentinel-5P TROPOMI NO2 column observations with the CAMS regional air quality ensemble,Geoscientific Model Development,We also show that replacing the global 1∘ × 1∘ a priori information in the retrieval by the regional 0.1∘ × 0.1∘ resolution profiles of CAMS leads to significant changes in the TROPOMI-retrieved tropospheric column
10.5194/gmd-15-1769-2022,Simple Citation,Level 2: Model Adaptation,5,Implementation of aerosol data assimilation in WRFDA (v4.0.3) for WRF-Chem (v3.9.1) using the RACM/MADE-VBS scheme,Geoscientific Model Development,"The Weather Research and Forecasting model data assimilation (WRFDA) system, initially designed for meteorological data assimilation, is extended for aerosol data assimilation for the WRF model coupled with chemistry (WRF-Chem). An interface between WRF-Chem and WRFDA is built for the Regional Atmospheric Chemistry Mechanism (RACM) chemistry and the Modal Aerosol Dynamics Model for Europe (MADE) coupled with the Volatility Basis Set (VBS) aerosol schemes."
10.5194/amt-13-755-2020,Simple Citation,Level 2: Model Adaptation,5,An improved air mass factor calculation for nitrogen dioxide measurements from the Global Ozone Monitoring Experiment-2 (GOME-2),Atmospheric Measurement Techniques,"An improved AMF calculation with a more accurate knowledge of surface albedo, the a priori NO2 profile, as well as cloud and aerosol correction is described in this paper and is expected to be implemented in an upcoming version of GDP in combination with Liu et al. (2019b)."
10.5194/ACP-19-11821-2019,Simple Citation,Level 2: Model Adaptation,5,European NOx emissions in WRF-Chem derived from OMI: impacts on summertime surface ozone,Atmospheric Chemistry and Physics,"We subsequently derive satellite-constrained surface NOx emissions using a mass balance approach based on the relative difference between OMI and WRF-Chem NO2 columns. The method accounts for feedbacks through OH, NO2's dominant daytime oxidant."
10.5194/acp-24-8677-2024,Simple Citation,Level 2: Model Adaptation,5,Enhancing long-term trend simulation of the global tropospheric hydroxyl (TOH) and its drivers from 2005 to 2019: a synergistic integration of model simulations and satellite observations,Atmospheric Chemistry and Physics,"Here, we aim to deepen our understanding of global TOH trends for more recent years (2005–2019) at 1×1°. To achieve this, we use satellite observations of HCHO and NO2 to constrain simulated TOH using a technique based on a Bayesian data fusion method, alongside a machine learning module named the Efficient CH4-CO-OH (ECCOH) configuration, which is integrated into NASA's Goddard Earth Observing System (GEOS) global model."
10.5194/ACP-19-8619-2019,Simple Citation,Level 2: Model Adaptation,5,The 2015 and 2016 wintertime air pollution in China: SO2 emission changes derived from a WRF-Chem/EnKF coupled data assimilation system,Atmospheric Chemistry and Physics,"In this study, we updated the WRF-Chem/EnKF (Weather Research and Forecasting – WRF, model coupled with the chemistry/ensemble Kalman filter – Chem/EnKF) system to directly analyze SO2 emissions instead of using emission scaling factors, as in our previous study."
10.5194/gmd-17-8495-2024,Simple Citation,Level 2: Model Adaptation,5,NAQPMS-PDAF v2.0: a novel hybrid nonlinear data assimilation system for improved simulation of PM2.5 chemical components,Geoscientific Model Development,"This paper introduces a novel hybrid nonlinear chemical DA system (NAQPMS-PDAF v2.0) to accurately interpret key chemical components (SO42-, NO3-, NH4+, OC, and EC). NAQPMS-PDAF v2.0 improves upon v1.0 by effectively handling and balancing stability and nonlinearity in chemical DA, which is achieved by incorporating the non-Gaussian distribution ensemble perturbation and hybrid localized Kalman–nonlinear ensemble transform filter with an adaptive forgetting factor for the first time."
10.5194/acp-25-6757-2025,Simple Citation,Level 3: Foundational Method,5,Multi-observational estimation of regional and sectoral emission contributions to the persistent high growth rate of atmospheric CH4 for 2020–2022,Atmospheric Chemistry and Physics,"This study uses an inversion system based on a different transport model from those used in the previous studies. Here we use the Nonhydrostatic Icosahedral Atmospheric Model (NICAM; Satoh et al., 2014)-based Inversion Simulation for Monitoring CH4 (NISMON-CH4) (Sect. 2.1). Using NISMON-CH4, we estimate CH4 emissions changes from in situ and flask observations as well as from GOSAT data (Sect. 2.3)."
10.5194/gmd-16-4793-2023,Simple Citation,Level 3: Foundational Method,5,CHEEREIO 1.0: a versatile and user-friendly ensemble-based chemical data assimilation and emissions inversion platform for the GEOS-Chem chemical transport model,Geoscientific Model Development,"We present a versatile, powerful, and user-friendly chemical data assimilation toolkit for simultaneously optimizing emissions and concentrations of chemical species based on atmospheric observations from satellites or suborbital platforms. The CHemistry and Emissions REanalysis Interface with Observations (CHEEREIO) exploits the GEOS-Chem chemical transport model and a localized ensemble transform Kalman filter algorithm (LETKF) to determine the Bayesian optimal (posterior) emissions and/or concentrations of a set of species based on observations and prior information using an easy-to-modify configuration file with minimal changes to the GEOS-Chem or LETKF code base."
10.5194/gmd-16-1823-2023,Simple Citation,Level 3: Foundational Method,5,Estimation of CH4 emission based on an advanced 4D-LETKF assimilation system,Geoscientific Model Development,"Here, we develop a data assimilation system for in situ and column-averaged concentrations using a local ensemble transform Kalman filter (LETKF) to estimate surface emissions of CH4."
10.5194/GMD-14-2939-2021,Simple Citation,Level 3: Foundational Method,5,Variational regional inverse modeling of reactive species emissions with PYVAR-CHIMERE-v2019,Geoscientific Model Development,"This paper describes the Bayesian variational inverse system PYVAR-CHIMERE, which is now adapted to the inversion of reactive species."
10.5194/acp-25-2863-2025,Simple Citation,Level 3: Foundational Method,5,Natural emissions of VOC and NOx over Africa constrained by TROPOMI HCHO and NO2 data using the MAGRITTEv1.1 model,Atmospheric Chemistry and Physics,"The present study shows monthly top-down emissions of NOx and VOC at 0.5° resolution over Africa for the year 2019, derived from spaceborne HCHO and NO2 tropospheric column retrievals and an adjoint-based inverse modelling framework built on the chemistry-transport model MAGRITTEv1.1. The main distinctive feature of the proposed joint inversion scheme is the simultaneous optimization of the VOC and NOx sources, taking their chemical interactions into account."
10.5194/ESSD-11-1411-2019,Simple Citation,Level 3: Foundational Method,5,Global atmospheric carbon monoxide budget 2000–2017 inferred from multi-species atmospheric inversions,Earth System Science Data,"In this study, we use a multi-species atmospheric Bayesian inversion approach to attribute satellite-observed atmospheric CO variations to its sources and sinks in order to achieve full closure of the global CO budget during 2000–2017."
10.5194/ACP-19-3515-2019,Simple Citation,Level 3: Foundational Method,5,The CAMS reanalysis of atmospheric composition,Atmospheric Chemistry and Physics,"The Copernicus Atmosphere Monitoring Service (CAMS) reanalysis is the latest global reanalysis dataset of atmospheric composition produced by the European Centre for Medium-Range Weather Forecasts (ECMWF), consisting of three-dimensional time-consistent atmospheric composition fields, including aerosols and chemical species."
10.5194/acp-25-15121-2025,Simple Citation,Level 3: Foundational Method,5,High-resolution regional inversion reveals overestimation of anthropogenic methane emissions in China,Atmospheric Chemistry and Physics,"Here, we developed the Regional Methane Assimilation System (RegGCAS-CH4) based on the WRF-CMAQ model and the EnKF algorithm. By assimilating extensive TROPOMI column-averaged dry CH4 mixing ratio (XCH4) retrievals, we conducted high-resolution nested inversions to quantify daily CH4 emissions across China"
